Nombre         ROL              Categoria     Puntaje   Codigo
Shyvana        JUNGLE           C            40.12       120
Shyvana        TOP              D            32.09       125
Singed         MID              S            58.63         3
Singed         TOP              B            47.66       154
Sion           TOP              B               45       129
Sivir          ADC              C            36.62       202
Skarner        TOP              C            37.75       180
Skarner        JUNGLE           C            34.76       252
Sona           SUPPORT          A            56.87       142
Soraka         SUPPORT          S            64.53       118
Swain          SUPPORT          A            55.21       153
Swain          MID              A            53.43       139
Sylas          JUNGLE           God           91.1       236
Sylas          MID              S            61.27       130
Syndra         MID              A            53.49       225
Tahm Kench     TOP              B            41.74       222
Tahm Kench     SUPPORT          C            37.08       106
Taliyah        MID              B            44.03       235
Taliyah        SUPPORT          D             31.9       201
Taliyah        JUNGLE           D            23.85        71
Talon          MID              B            47.97        45
Talon          JUNGLE           D            25.55       208
Taric          SUPPORT          B            44.93       160
Teemo          TOP              S            59.87       119
Thresh         SUPPORT          S            66.85        83
Tristana       ADC              A            54.11        96
Tristana       MID              B            47.15        84
Trundle        JUNGLE           C            37.71       190
Trundle        TOP              D            30.07       241
Tryndamere     TOP              A            48.52        15
Tryndamere     MID              B            46.28       156
Twisted Fate   MID              C            40.26       163
Twitch         ADC              A            52.07        98
Twitch         SUPPORT          B            42.04       229
Udyr           JUNGLE           God          85.95        47
Urgot          TOP              B            46.24       158
Varus          ADC              A            55.31         1
Varus          MID              B            43.25       187
Vayne          ADC              A            49.39        54
Vayne          TOP              C            37.23       177
Veigar         MID              A            51.29        58
Veigar         ADC              D            30.36       206
Veigar         SUPPORT          D            27.94        92
Vel'Koz        MID              A            50.24         9
Vel'Koz        SUPPORT          B            44.62       175
Vex            MID              A            55.12       162
Vi             JUNGLE           A            56.38        31
Viego          JUNGLE           S            67.89        10
Viktor         MID              A            55.18        51
Vladimir       MID              A            49.08       169
Vladimir       TOP              C            33.11        66
Volibear       TOP              C            36.53       172
Volibear       JUNGLE           C            37.41       246
Warwick        JUNGLE           God          76.16       144
Warwick        TOP              A             52.5       191
Wukong         JUNGLE           A             53.5       184
Wukong         TOP              B            43.29       112
Xayah          ADC              B            40.73        25
Xerath         MID              B            48.12       117
Xerath         SUPPORT          A            48.82       207
Xin Zhao       JUNGLE           C            37.07        40
Yasuo          MID              S            68.71       185
Yasuo          TOP              B            43.33       197
Yasuo          ADC              D            31.91       247
Yone           MID              S            61.43        34
Yone           TOP              A            53.21       131
Yorick         TOP              B            47.09       233
Yuumi          SUPPORT          God             90       108
Zac            JUNGLE           S            62.96       199
Zac            TOP              A            51.43       167
Zed            MID              God          87.21        87
Zed            JUNGLE           S            57.79        38
Zeri           ADC              S            59.61       251
Ziggs          MID              B            48.01       102
Ziggs          ADC              C            38.97       216
Ziggs          SUPPORT          C            32.43        76
Zilean         MID              A            54.98        61
Zilean         SUPPORT          A            50.83       237
Zoe            MID              B            46.03       182
Zoe            SUPPORT          D            31.88         4
Zyra           SUPPORT          A            52.45         5
